text,stance,labels
I'd like #TedCruz to talk more policies that directly benefit blue-collar+I'd like #DonaldTrump to talk more about defending #Constitution.,none,0.0
"""the past"" and biden references obama years as if thats actually the past, trying to hide his racism #demdebate",none,0.0
Quando mi prende lo sconforto penso che qualcuno potrebbe ritrovarsi un presidente come #DonaldTrump o #HillaryClinton e mi sento meglio.,none,0.0
@USER @USER think about it in ny  where most are dems they need to cheat this much!!! #qanon,none,0.0
#GOPDebate think what #Trump2016 is saying that #Cruz2016 should get a court writ saying he's eligible - debate over BEFORE general election,none,0.0
“The rally is its own genre of performance” – @SmithInAmerica on Trump's neverending campaign.,none,0.0
#TedCruz class act says he still supports Palin after her switcheroo to #Trump2016 Most pols wouldn't do that @ericbolling #WakeUpAmerica,none,0.0
"stop yelling what the fuck

#demdebate",none,0.0
am i the only blonde lady left in america who's not a vaguely terrifying neo-aryan? #rnc2020,none,0.0
"bingo, looks like the “spitter’s” son. ☎️ he was on such a mission, that he didn’t even realize he revealed the #trump2020 sign. HTTP",none,0.0
Unless something unforseen happens we could very well be looking at a #DonaldTrump vs #HillaryClinton presidential ticket.,none,0.0
@USER #donaldtrump with buddy #harveyweinstein HTTP,none,0.0
#democratnationalconvention #dnc speakers next week (swipe) HTTP,none,0.0
maybe we should take care of the #antifa problem before we freak out abou #qanon... which no one really cares about.,none,0.0
Can anyone tell me what #DonaldTrump thought was #disgusting about #HillaryClinton's toilet break? Google is not my friend for this!,none,0.0
#TedCruz got million dollar loan from Goldman Sachs 4 Senate campaign &amp; fails 2 disclose it. Did he just hand the nomination 2 #DonaldTrump?,none,0.0
"#IWish Amazing song #Grouplove ""Ways to Go"" #NorthKorea #Trump  via @UTubeFamily #nowplaying #TuesdayThoughts",none,0.0
White House week of chaos ends in open warfare - President Donald Trump woke up Friday with a key campaign prom...,none,0.0
#morningjoe is such a hypocrite! He likes #HillaryClinton when she is saying crap about #DonaldTrump. He's hallow inside!!!,none,0.0
@USER @USER @USER @USER @USER @USER ok lol jackie aka jac_cheeze is a #catfish #scammer of #maga HTTP,none,0.0
"everyone’s favorite candidate did great and their least favorite candidate totally blew it

#democraticdebate",none,0.0
"and now, politics. 

my first comment: fuck bloomberg

#demdebate",none,0.0
Trump to go on two-week working vacation: White House,none,0.0
"#DonaldTrump calls #TedCruz a pussy during rally n #NH. Word of this on the campaign trail got back 2 #BillClinton who said, ""pussy?"" Where?",none,0.0
"""president trump does not dabble in identity politics,"" ben carson declares, adding of those who call trump racist: ""they could not be more wrong"" #gopconvention",none,0.0
"#DonaldTrump to @NBC: We must be doing fine, we're tied with #TedCruz :) My husband said, ""That's the first time I've ever heard DT say",none,0.0
Which would you rather have? An attorney (#Cruz) or a job (#Trump)? Attorney's get paid whether they accomplish anything or not. #Trump2016,none,0.0
"@USER reference to the ny #nakedcowboy. he roams times square in tiny whitey underwear. #demdebate 
HTTP",none,0.0
"#autism in the time of the #coronavirus: institutional blindness #covid19 #covid-19 #wwg1wga #helpeopleonlus #monsterfunder 

please #donate today to my  

 #plz rt! click below HTTP",none,0.0
"@USER ""and what about demon seed, madame speaker?  why haven't you addressed alien dna?"" i knew mccarthy was stupid but, surely, he must know how any comment regarding #covid19 by the #gop will be met with righteous derision!  🙄 HTTP",none,0.0
"America will send ground troops to war likely in 2-4 years. Regardless, if #HillaryClinton or #DonaldTrump are president. A recession too.",none,0.0
"@USER @USER @USER that’s funny! he’s there, at the white house, because we’re in a pandemic. so clearly not ignoring it! #rnc2020 brought the stage to him, to all of us, in a pandemic! get over it! his speech will be amazing! promises made promises kept is so much more than just a campaign slogan!",none,0.0
someone needs to wipe this smug smile off booty edge's face  #democraticdebate,none,0.0
"the reason you hate @USER is because he's rude.  statistically speaking, it isn't any of his policies. the very crisis we are all living through just proves how what he's saying is objectively true, but y'all won't vote for him, because??? #demdebate HTTP",none,0.0
Why do I feel like I am going to wake up and find out presidental campaigns are just an awesome #SNL skit? #Trump2016 #Hillary2016,none,0.0
"biden, for the millionth time says: ""...that's number one, and number two...""

#obnoxious

#demdebate",none,0.0
"Regardless of how u feel about the candidates, the more people involved in the process, the better. :) #Bernie2016 #Hillary2016 #Trump2016",none,0.0
"@pdtray @ccambridge52 Not Trumpster nor hater. I know Gensler's logic &amp; epistemology. Last several presidents did opposite promised, Hilly promised war, Trump ✌",none,0.0
"Being a #TedCruz supporter can be hard, but I find comfort in the fact that Liberals hate #DonaldTrump at least marginally more. :)",none,0.0
