text,labels
"everyone’s favorite candidate did great and their least favorite candidate totally blew it

#democraticdebate",0.0
reading the headline about the #dnc2020 and it's already obvious that the democrats are falling into the same trap as last time.,0.0
@USER @USER @USER @USER i hope president trump follows through on his promise to sell the citizens of connecticut to the chinese as slaves who will probably work them to death in months!! #maga,1.0
"if donald trump was innocent regarding e. jean carroll, bill barr wouldn't need to step in. #evangelicalsfortrump and #maga are feverishly and blindly supporting a rapist. own those libs.",0.0
My presidential vote goes to whoever provides the most in-depth and bulletproof critique of The Force Awakens. #Trump2016 #Hillary2016,0.0
Narcissistic loser Mitt Romney has slimed out once again to take cheap shots at President Donald Trump,1.0
@GOP #Trump2016 Sorry but the last thing #Republicans need is someone like #Cruz2016 who is equally if not more divisive than @POTUS #Obama,1.0
@2017FNR @DJsmarty117 @SpecialHarmon @attn By supporting #Trump and the #fascist #GOP you are actually DISHONORING your great grand parents right now.,0.0
"#DonaldTrump insulted #Hillary for a bathroom break on the #debate! ""See my women are trained to go number 1 or 2 when I order them!""",0.0
joe biden saw what happened when we “pulled all troops out of the middle east?” nobody told me we did that! #demdebate,0.0
i’ve seen this stare before. this looks like he just gave his daughters a talking to. #rnc2020 HTTP,0.0
"The results of yesterdays Twitter poll: 
Donald Trump is just slightly more of a cunt than Ted Cruz. #cunt #DonaldTrump #TedCruz",0.0
".@USER fought to save the auto industry every step of the way from 2008 until we succeeded. 

unfortunately, that wasn't always the case with @USER. #democraticdebate HTTP",0.0
biggest takeaway from the debate is that he will not leave office after he loses and has called on his fascist militia to “stand by”. you can either prepare for what will happen or you can ignore it. your call america #2020debate #debate2020 #debates  #trump2020 #bidenharris2020,0.0
"looking for #maga, #kag followers. i will follow back. would love to interact with my fellow patriots. please retweet. #trump2020",1.0
"We get all the bad #Mexicans...minus the ones whose labor built your empire, of course. #TrumpedFacts #Delusional #GTFOH",0.0
People: Donald Trump is a man who can lead this country into the future.,1.0
"@jamescdownie @NRO 

These guys created Trump inside their Frankenstein Factory. 
What's the problem?

#Trumpery #tcot #Trump2016 #Hillary",0.0
Can't believe how many stupid people there are  -- those who vote for a clown (#DonaldTrump ) or one who shuts down government  (#TedCruz ),0.0
"@USER someone wrote this tweet for you.

#biden2020 #bidenharris2020 #jillbidenforflotus #trumpthreatensamerica #trumpkillsusps",0.0
"@USER as if we will ever forget...palestine is not only on our minds, its in our blood hart and soul, how are they going to erase that ?

#fuckisrael 
#fucktrump 
#fuckicc",0.0
"Washington insiders who know @tedcruz all say the same thing: Nobody likes #TedCruz. Too difficult to work with. 

#Trump2016",1.0
"@USER lol republicans at the beginning of the week. “ no evedrnce will be allowed.”

three days later. “well the dems aren’t showing us any evidence. “

#votebluetosaveamerica #votebluetoendthisnightmare",0.0
@realDonaldTrump facial expressions are hilarious. I had to quit watching the debate because all I did was laugh. &#128514;,0.0
"#Hillary is an Obama clone! Debt and ISIS are killing us. The country is turning to #Trump! No more empty words, we need action! #Trump2016",1.0
Ryan and McConnell gave Obama a Christmas gift of billions of $$ to resettle Muslims but no money to deport #BuildTheWall #Trump2016 #Cruz,1.0
@USER you are supposedly the president!   you knew!  pence knew!  mcconnell knew!  you killed americans!!!  #trumptapes #trumpknew #mitchknew #penceknew #votebluetosaveamerica HTTP,0.0
"@peddoc63 @SMolloyDVM Yeah, just right after he destroys America! #DonaldTrump is the only way to go, #TedCruz is just another puppet!",0.0
@USER strong the #stupid is with this one. #kag,1.0
"The moment you opened your mouth,  that was the end of your candidate trip! @realDonaldTrump",0.0
"Ohhhh I was mistaken only 30% Morons in the @GOP base wanna bomb #Agrabah , 41% of #TrumpTwerps have the desire
#Hillary2016
#Clinton/Castro",0.0
Updated Electoral Map Count-   @HilllaryClinton- 269   @realDonaldTrump -269,1.0
"#TedCruz has a weak chin and looks like he just ended a crying jag, and he's from Canada and can't skate @realDonaldTrump #Trump2016 #Trump",1.0
"#nobelpeaceprize has a chance to restore integrity here after giving the war monger obama the prize.

“#donaldtrump nominated for nobel peace prize following israel-uae deal”

HTTP",1.0
